,OMRÅDE,TID,SUNDHEDSUDGIFTER
587,Vesthimmerlands,2013,4573
588,Læsø,2013,5080
589,Rebild,2013,4291
590,Mariagerfjord,2013,4499
591,Jammerbugt,2013,4498
592,Aalborg,2013,4084
593,Hjørring,2013,4685
594,Hele landet,2014,4853
595,København,2014,4776
596,Frederiksberg,2014,4870
597,Ballerup,2014,5955
598,Brøndby,2014,5799
599,Dragør,2014,4984
600,Gentofte,2014,4959
601,Gladsaxe,2014,5555
602,Glostrup,2014,5900
603,Herlev,2014,5319
604,Albertslund,2014,5122
605,Hvidovre,2014,5525
606,Høje-Taastrup,2014,5161
607,Lyngby-Taarbæk,2014,5207
608,Rødovre,2014,5621
609,Ishøj,2014,5700
610,Tårnby,2014,5287
611,Vallensbæk,2014,5353
612,Furesø,2014,4934
613,Allerød,2014,4757
614,Fredensborg,2014,4921
615,Helsingør,2014,5561
616,Hillerød,2014,5070
617,Hørsholm,2014,4610
618,Rudersdal,2014,5237
619,Egedal,2014,5027
620,Frederikssund,2014,5397
621,Greve,2014,4504
622,Køge,2014,4403
623,Halsnæs,2014,5896
624,Roskilde,2014,4590
625,Solrød,2014,4526
626,Gribskov,2014,5305
627,Odsherred,2014,5269
628,Holbæk,2014,4868
629,Faxe,2014,4852
630,Kalundborg,2014,4822
631,Ringsted,2014,4805
632,Slagelse,2014,5127
633,Stevns,2014,4825
634,Sorø,2014,4958
635,Lejre,2014,4945
636,Lolland,2014,5956
637,Næstved,2014,4994
638,Guldborgsund,2014,5271
639,Vordingborg,2014,5335
640,Bornholm,2014,5358
641,Middelfart,2014,4838
642,Assens,2014,4837
643,Faaborg-Midtfyn,2014,5018
644,Kerteminde,2014,4749
645,Nyborg,2014,5017
646,Odense,2014,4644
647,Svendborg,2014,4870
648,Nordfyns,2014,4998
649,Langeland,2014,5696
650,Ærø,2014,4943
651,Haderslev,2014,4925
652,Billund,2014,4681
653,Sønderborg,2014,5230
654,Tønder,2014,5133
655,Esbjerg,2014,4978
656,Fanø,2014,5441
657,Varde,2014,4862
658,Vejen,2014,4761
659,Aabenraa,2014,5188
660,Fredericia,2014,5229
661,Horsens,2014,4907
662,Kolding,2014,4885
663,Vejle,2014,4547
664,Herning,2014,4286
665,Holstebro,2014,4876
666,Lemvig,2014,4740
667,Struer,2014,4796
668,Syddjurs,2014,5138
669,Norddjurs,2014,5275
670,Favrskov,2014,4398
671,Odder,2014,4428
672,Randers,2014,5046
673,Silkeborg,2014,4844
674,Samsø,2014,4785
675,Skanderborg,2014,4342
676,Aarhus,2014,4167
677,Ikast-Brande,2014,4452
678,Ringkøbing-Skjern,2014,4485
679,Hedensted,2014,4391
680,Morsø,2014,4971
681,Skive,2014,4785
682,Thisted,2014,4790
683,Viborg,2014,4673
684,Brønderslev,2014,4321
685,Frederikshavn,2014,4786
686,Vesthimmerlands,2014,4781
687,Læsø,2014,4680
688,Rebild,2014,4494
689,Mariagerfjord,2014,4510
690,Jammerbugt,2014,4517
691,Aalborg,2014,4156
692,Hjørring,2014,4720
693,Hele landet,2015,4860
694,København,2015,4748
695,Frederiksberg,2015,4958
696,Ballerup,2015,5838
697,Brøndby,2015,5867
698,Dragør,2015,5167
699,Gentofte,2015,4917
700,Gladsaxe,2015,5729
701,Glostrup,2015,5440
702,Herlev,2015,5985
703,Albertslund,2015,5721
704,Hvidovre,2015,5245
705,Høje-Taastrup,2015,5135
706,Lyngby-Taarbæk,2015,5061
707,Rødovre,2015,5595
708,Ishøj,2015,6037
709,Tårnby,2015,5182
710,Vallensbæk,2015,4947
711,Furesø,2015,4892
712,Allerød,2015,4654
713,Fredensborg,2015,4970
714,Helsingør,2015,5473
715,Hillerød,2015,4972
716,Hørsholm,2015,4555
717,Rudersdal,2015,5120
718,Egedal,2015,4849
719,Frederikssund,2015,5364
720,Greve,2015,4525
721,Køge,2015,4796
722,Halsnæs,2015,5930
723,Roskilde,2015,4665
724,Solrød,2015,4497
725,Gribskov,2015,5093
726,Odsherred,2015,5351
727,Holbæk,2015,5005
728,Faxe,2015,5042
729,Kalundborg,2015,4811
730,Ringsted,2015,5016
731,Slagelse,2015,5192
732,Stevns,2015,4923
733,Sorø,2015,5058
734,Lejre,2015,4747
735,Lolland,2015,6195
736,Næstved,2015,5134
737,Guldborgsund,2015,5453
738,Vordingborg,2015,5236
739,Bornholm,2015,5406
740,Middelfart,2015,4739
741,Assens,2015,4804
742,Faaborg-Midtfyn,2015,5033
743,Kerteminde,2015,4752
744,Nyborg,2015,4901
745,Odense,2015,4533
746,Svendborg,2015,4754
747,Nordfyns,2015,5019
748,Langeland,2015,5980
749,Ærø,2015,5075
750,Haderslev,2015,4891
751,Billund,2015,4688
752,Sønderborg,2015,5181
753,Tønder,2015,5190
754,Esbjerg,2015,4843
755,Fanø,2015,5706
756,Varde,2015,4840
757,Vejen,2015,4724
758,Aabenraa,2015,5212
759,Fredericia,2015,5104
760,Horsens,2015,4810
761,Kolding,2015,4778
762,Vejle,2015,4481
763,Herning,2015,4353
764,Holstebro,2015,4858
765,Lemvig,2015,5017
766,Struer,2015,5094
767,Syddjurs,2015,5299
768,Norddjurs,2015,5365
769,Favrskov,2015,4491
770,Odder,2015,4449
771,Randers,2015,4905
772,Silkeborg,2015,4849
773,Samsø,2015,4909
774,Skanderborg,2015,4397
775,Aarhus,2015,4209
776,Ikast-Brande,2015,4368
777,Ringkøbing-Skjern,2015,4633
778,Hedensted,2015,4389
779,Morsø,2015,5055
780,Skive,2015,4891
781,Thisted,2015,4826
782,Viborg,2015,4877
783,Brønderslev,2015,4392
784,Frederikshavn,2015,4825
785,Vesthimmerlands,2015,4634
786,Læsø,2015,4242
787,Rebild,2015,4538
788,Mariagerfjord,2015,4397
789,Jammerbugt,2015,4588
790,Aalborg,2015,4154
791,Hjørring,2015,4822
792,Hele landet,2016,4833
793,København,2016,4595
794,Frederiksberg,2016,4776
795,Ballerup,2016,6240
796,Brøndby,2016,5903
797,Dragør,2016,5057
798,Gentofte,2016,4530
799,Gladsaxe,2016,5170
800,Glostrup,2016,5747
801,Herlev,2016,5341
802,Albertslund,2016,5297
803,Hvidovre,2016,5339
804,Høje-Taastrup,2016,5531
